name_of_the_slum,created_at,updated_at,the_geom,circle_number,ward_number,population,households,number_of_bpl_households,minority,caste_general,caste_sc,caste_st,caste_obc,literacy_literates,literacy_illiterates,tenure_patta,tenure_possession_certificate,tenure_private_land,tenure_public,tenure_rented,tenure_others,structure_pucca,structure_semipucca,structure_kuccha,avg_monthly_income,avg_monthly_expenditure,debts_outstanding,zerotoone_years_of_stay,onetothree_years_of_stay,threetofive_years_of_stay,morethanfive_years_of_stay,female_headed_households,age
EWS Quarters,0025-02-10 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000A00000088C6035F0BA05340E36C5B10A1663140302C7F640DA05340008D70EF9966314008DFBC040FA0534034CA37B395663140E091FA500AA053406F2C02F877663140A02BAC8E0DA053408CAEA4F06C66314070C55D8E12A05340C2BD0E2B8A66314000F9C02B15A05340D01411308066314060AB80521FA05340FFC7CF67BC663140A05902BE15A05340D4461210D566314088C6035F0BA05340E36C5B10A1663140,9,88,1317,293,278,15,10,77,6,200,1317,0,22,243,1,0,27,0,31,261,1,3675,6222,0,2,0,0,291,45,
Achaiah Nagar,0024-03-08 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000F000000000080E423A05340E939C09CA86631400000008521A05340E3F089C98F663140000080432EA053402A42578E6B6631400000805936A05340A22E4D75906631400000806A34A053407CA6DE46A86631400000007036A0534041E1E6C0BE6631400000001933A053402A758576C5663140000080F431A053400FF53510BB663140000000EF2FA05340248C4E6EC0663140000080AE2CA0534074A94D57B2663140000000D62AA053408B3DCE62B9663140000080FD28A05340C7CAF7A4AD663140000080B426A05340BEC61003B36631400000006325A053401A5758EFA6663140000080E423A05340E939C09CA8663140,9,88,742,160,129,15,46,16,2,96,742,0,2,67,2,1,86,2,107,53,0,5569,5679,50,7,1,1,151,13,
Gandhi Nagar Lanka,0026-07-10 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000A00000038A27BD6F59F5340437D60012B653140A8677BD3F89F5340CCB846572B653140E0CABF54FB9F5340865EB9BD2865314020EE02A9FD9F53407A64FF7E29653140A00DBFE9FC9F53405DDF79AB1D653140885162B1FE9F53407087963919653140E030C224FE9F5340DF9163B516653140E0D17A38FD9F5340ABEC430B17653140E87FC187F59F5340BCC3B3252765314038A27BD6F59F5340437D60012B653140,9,81,377,91,91,1,3,72,2,14,345,32,68,0,0,0,23,0,75,16,0,3618,3479,4132,0,0,0,91,,
Satya Nagar,0027-11-10 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000C0000001867461E0CA05340787F381F0965314008807DB606A053409A728DE8016531403F4582670AA05340A17A73D1F3643140D486FD7D0AA0534048307A13E8643140D2A4FBD61AA053408631337DC0643140BDD0332820A0534013565327DA643140DC7C86E422A0534059393090D2643140E8923F5223A0534069AE0DF4D4643140C6EFF9A320A053403C3F5AD6DC6431407519064516A05340F94BCD16F76431405799089F16A053404B22B904F96431401867461E0CA05340787F381F09653140,9,81,533,126,126,1,4,88,1,33,533,0,126,0,0,0,0,0,72,54,0,5944,5833,0,1,0,5,120,0,
Ratna Nagar,0026-03-11 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000010000000089E7B0F17A05340E7B932661A653140A089FBB80BA05340966E1AF40865314090DCFD9E16A053400F40AC2FF964314078FD385016A0534034B07E01F764314028E67BA11BA053404DAD8C80E9643140182AFF5A1EA05340F75D6CB5E2643140409650EA20A05340662C3F15DC643140A0E8A15323A05340F8E650E9D4643140102B17E822A05340F32B08ABD2643140300F779A31A05340ADAA34B5AE643140B060FAE23BA05340BDFD985ADF64314018B93C1038A053408E0CACC2EA643140C0157C2C36A05340373986EDEA643140B0517BB633A05340A17A73D1F364314090097B242FA05340D2DB65E0FC643140089E7B0F17A05340E7B932661A653140,9,81,2298,575,418,44,62,76,4,433,2298,0,150,1,2,0,408,14,263,294,18,4335,4021,626,14,15,9,537,513,
Shiva Ananda Nagar,0025-04-04 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000008000000309C83EB3AA0534037EFCDA943653140A0FBC0E839A053407A9C2EA33F653140105BFE8B38A05340C1EE359E3C65314090DCBABB39A05340ADFBB3B832653140688DFF0A32A05340241E79B516653140B8E5021B40A053403829B3DEFB64314090AC81B543A05340936AA7FF0F653140309C83EB3AA0534037EFCDA943653140,9,87,466,115,78,44,48,44,2,21,394,72,32,0,3,0,80,0,57,40,18,4146,4112,14983,2,19,2,92,22,
Kamgar Nagar,0030-12-11 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000D00000088753E97849F53406AE603E18E61314000F843E0869F534076E957218261314048C7BC2B8E9F5340258C0BAC88613140700B3B31909F5340FB20CB8289613140A073EA8D929F534003D3CA8289613140D0DBD9D9929F53404092493F94613140108B8266939F5340A6471D34A761314080FCD98D939F5340383CFA67C6613140E8897EB2929F5340F651F492C66131409015FD448F9F534021FCF544B161314038A17B9C8A9F534044F3844E9D61314060DAFC01879F5340D3B0CEE79261314088753E97849F53406AE603E18E613140,9,82,220,56,26,0,1,55,0,0,210,10,53,0,0,0,2,1,44,12,0,5513,5513,71,0,0,0,56,35,
Navan saba bada,0029-06-07 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000D0000004039022CB79F5340FE2DB4AFF1613140987A8250B89F5340D1E3D21AE5613140B060C271C09F5340B0907019F1613140D846023CC59F5340644D6EE6F8613140704543F8C89F5340F6BD82CA01623140E0A4A0E4C79F5340573C5E2A086231409854CF1FC69F5340A492E57C066231405004BEE7C29F534092B8404B0262314090C13EB5C09F5340A87DB1C3FD613140D03B453FBE9F534066FC1B310C62314048CA81E5B99F5340D623ABB1FF613140C0583ECFB59F5340F27ABEBEFA6131404039022CB79F5340FE2DB4AFF1613140,9,82,450,102,92,41,44,6,0,52,431,19,1,40,28,0,32,1,64,36,2,4447,4282,12265,0,1,0,101,24,
Yadaiah Bada,0033-10-11 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000900000090DBDA56D99F5340B474C88881623140A0FF9A0DDB9F5340E7034CDB7F623140B8235B86DE9F53407E2225277A623140881FCEB0DA9F53402551D8736E623140501B01FDD69F534084A503D662623140009A3F54D69F5340BBDB0C7763623140B018DED2D59F5340C039DDC364623140207A3C16D89F534005153EE47162314090DBDA56D99F5340B474C88881623140,9,82,133,30,29,28,30,0,0,0,133,0,10,12,0,7,1,0,2,19,9,3817,2900,1000,0,0,0,30,9,
Nawab Saba Bada,0034-09-10 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B0000005031BBDFE89F534080F030CB9C62314030A64018E59F53409594E0C4B262314030A6803ADD9F5340EBAF6B0B90623140E0D8A86EDB9F53407614541E88623140A00BD175D99F5340823CCA888162314000712151DB9F53405F68FC9A7F623140E037008CDE9F5340DDF9E6317A623140509B97D3E09F53403E7C47D981623140B8FECE20E39F5340126E99AB896231401078BC69E69F5340D9B2B63E956231405031BBDFE89F534080F030CB9C623140,9,82,450,102,92,41,44,6,0,52,431,19,1,40,28,0,32,1,64,36,2,4447,4282,12265,0,1,0,101,24,
Suraj Nagar,0032-11-02 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000900000060DE7B27A59F53407C03AABBE0623140D0550403A49F53406F8FC560DD6231408017FDE99E9F5340DA5CE3C4B2623140E02BFD9FAC9F5340A2FA8517B1623140102B80E3AC9F5340D6DA2F07C1623140402A03ECAB9F5340542F44B3DB62314028E5FBA2A99F5340230CFAB4DC623140501E7D51A89F5340C1D0960CDE62314060DE7B27A59F53407C03AABBE0623140,9,82,246,62,21,1,7,14,1,40,190,56,35,6,8,0,11,2,36,15,11,2792,3260,7358,12,0,0,50,46,
Moulana Azad Nagar,0034-01-07 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000E00000058BE686EC99F5340F9E118B081633140A8D5251DC49F53402ED70DA16B633140987A8269BD9F5340B4A7AAF14E633140501FE469B79F5340F09BEBC936633140C0A484A2B19F534051FCB5481C63314088B41178B59F534087E354C61A633140802D77B4B69F5340790237841963314028255B72B69F534056B3803611633140B05143FCB59F5340CFF81E2909633140B08B7042B89F53402928939D08633140B8C51DB0B89F534034C34D2E19633140B036FFAFBA9F534003B2CDC71B633140F87A39E4CD9F5340CE842EFA6D63314058BE686EC99F5340F9E118B081633140,9,82,231,60,41,4,15,17,0,28,231,0,1,0,21,0,37,1,20,39,1,3262,3195,417,0,0,0,60,25,
Mothilal Nehru Nagar(non slum),0033-11-07 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000A00000060AE02A5B69F5340BA6B09F9A063314090EAFC69B59F5340962D777182633140608F7CC6BA9F5340933C18697D633140B861BCD1BA9F5340B88AB78675633140E04AFC36BB9F534047B77D2D7363314010343C7DBC9F5340A203AF86756331400023FD14BF9F53408FF2543994633140709AFD92C89F53400631FD568C633140E811FE73C99F5340DD9B3B8A9163314060AE02A5B69F5340BA6B09F9A0633140,9,82,231,60,41,4,15,17,0,28,231,0,1,0,21,0,37,1,20,39,1,3262,3195,417,0,0,0,60,25,
Sunder Nagar A,0035-04-11 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000C000000E016A3B514A0534071FE07BB3A633140F00AFDC60CA05340D32325885C633140C0C67E7B05A05340A2CE18CD386331404807C2EB09A05340F0B4AAC426633140D04785260FA05340188BCA0E13633140902A65B00EA053409FFD8EE010633140480D45DD10A0534040DF667D08633140B0157F0413A05340CAC9FE580C633140D85BFEC819A053408E23FA552463314000A2FD9B19A05340BD3FB52C25633140705C803C17A0534066BE053F30633140E016A3B514A0534071FE07BB3A633140,9,82,784,179,166,107,103,64,3,9,632,152,73,3,1,1,98,3,10,167,2,2474,2286,56,0,0,0,179,91,
Krishna Nagar,0036-08-12 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000150000009019C27327A05340FD2535F61D633140282EC72B50A053405A75673744633140B081C7F953A053408B7505364263314070D2C98C56A053406BA395D63A633140D01DCBF555A05340DD0BED182E633140A84BC63152A05340FE6749571B633140C02BD4FD50A05340B95421F50963314000FDDEFA52A053401F92150D0563314030C0738A51A05340AE7C9AF1FA62314098CDFB8331A053406C0B8D2FF362314000263EB12DA053400D3BE702F2623140701FB93529A053404722B049E9623140F02EED2725A05340B770CDDBE0623140D043224424A05340D4DF647EE26231408027FC6B1CA053406C197807DB62314020267DCE1BA0534055A73D04D96231401062FC6E19A05340C0EFF859D9623140D099FE3615A05340D146A62A0A63314010667EFB1BA053402813AF991963314048CCBB031FA05340537EEFC2186331409019C27327A05340FD2535F61D633140,9,82,220,56,53,17,35,17,1,3,150,70,23,8,2,0,23,0,32,22,2,2696,2005,12089,2,0,0,54,36,
Sunder Nagar B,0034-01-07 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000700000040977BDF19A053404385BE2C2563314040AB44D20CA05340823401345D63314060363F3711A05340FFAE7BA46D633140405B7C661AA053406A70623491633140801C7FE423A0534051ECA0DC75633140C0DD818F2DA05340DA5C56235363314040977BDF19A053404385BE2C25633140,9,82,1213,284,251,148,118,135,3,28,787,426,53,209,6,1,5,10,37,224,23,3573,5941,32482,177,1,7,99,253,
Resala Abdulla,0041-05-09 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000800000020C101EB809E53407BE4C57883613140703E81A7809E534035A8ABB57461314050050034839E534051018AA66B61314050C71F5E849E5340BF4411246A61314060893FD4849E5340A50EF5A96D613140589103E5869E5340EFF80F687961314070060442849E5340B9480CC87F61314020C101EB809E53407BE4C57883613140,8,77,377,98,97,2,3,28,6,61,337,40,15,28,0,0,55,0,38,8,52,3928,3459,0,4,1,0,93,,
Poosala Bathi,0040-01-07 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B000000F829FFD1A89E53400D961808C061314000EE7FE5AB9E534054EF0A33C06131404818BEA1AF9E5340FB000C08C0613140B0B33A53AB9E5340EEE0B7479961314080117EAAAA9E53402311121B98613140E869C088AA9E53404E1D449A9761314090E1C301AA9E534064983A6F9761314030853FCFA79E53404F2E1E39AA613140E0A53F86A59E5340ABDAFECDB6613140F0677F83A49E534051EB49C9C0613140F829FFD1A89E53400D961808C0613140,8,77,298,78,77,0,5,2,0,71,270,28,14,13,0,0,50,1,3,13,62,3834,3706,20385,0,0,0,78,28,
Katelamandi,0042-02-12 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000009000000E824DF35389E534085D06BB9396331405823C3C4419E534026A9037B616331407014A23D439E5340A910D1636063314020F5E075439E534044B837375F6331402057A1D2449E534098E0FC9B5B6331400075E3F9469E534066B80AAE59633140303608983D9E534018E1118E1F633140F0869FA03A9E5340B4E1C5782C633140E824DF35389E534085D06BB939633140,8,78,439,117,106,2,1,108,0,8,437,2,1,1,12,97,6,0,1,54,62,3825,3436,17705,27,3,1,86,33,
Fathe Sultan Line,0043-10-13 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000500000010BCBDDD469E5340699F5FE14764314000B9C4EE449E53409A1A976818643140A08DE06C4C9E53405E64402818643140704DE4C64C9E53400E7289B64764314010BCBDDD469E5340699F5FE147643140,8,78,1231,300,276,65,85,140,1,74,1227,4,246,0,1,3,45,5,294,1,5,4432,4182,7303,27,10,6,257,65,
Badi Chowdi,0042-05-06 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000007000000E893FB042A9F53400D80754682633140108EC491289F5340CDFD380E7A63314000B67A562B9F53404EC133047463314080F87E9F2D9F53405FA4D8516F633140083B838E2F9F53401D0E52206B63314010A4BE01319F53409BFE4B2A71633140E893FB042A9F53400D80754682633140,8,79,94,22,20,0,6,0,0,16,89,5,1,1,0,0,20,0,0,13,9,5023,4386,9091,0,0,0,22,3,
Kanda Swami Line,0043-09-13 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000008000000B0A856E5079F534085EC01A889633140D0DB43880C9F5340C0477C258863314010457A9E109F5340C1A60AE08463314000BADDEC169F5340A33517DB8163314058BF80FB0D9F534009E045E379633140B0C4238E089F5340B7095AF5776331406074822E089F53408A9C951F7E633140B0A856E5079F534085EC01A889633140,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
New Indira Nagar,0046-03-16 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000013000000E074FCFE6AA05340B5D682A470643140600E44E067A05340117BEB776F6431404000A03468A05340B9AE79888664314028F23BEE68A05340EBFC40558E643140685839726CA0534053603BF7A2643140A8BBDB8A77A05340011E282289643140F0FBF4C874A05340490389377C6431403058DC4579A05340E4BED53A71643140D8AA45C078A053407906AAD25864314030D58A3E78A053403CAC053044643140404651B17BA053407A08BA284064314078829AAD7EA0534041AAF6232464314078ABB6B47DA053401F9C157221643140E048E32780A053405CC9D0A912643140E0E53B5B74A053405453D4910A6431404085FAC873A05340A1A3131117643140289B38DA6DA053403B56C61218643140981241836AA053407738D3E717643140E074FCFE6AA05340B5D682A470643140,9,87,2320,616,387,5,2,59,11,544,2320,0,74,55,1,0,483,3,259,267,90,4118,4100,0,13,3,16,584,157,
Bathkammakunta,0046-01-07 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000001A00000040BEF716DAA05340C39579CCBC643140A07501EDD6A05340DA19E8D2A6643140201BE4A2D8A05340A21185F99F643140F0DA7C8ED5A05340FC43E9C19364314010C1838FD6A0534063BFDD488F6431407877B6AAD9A053402DA924FC9C64314090F3714CDAA05340F8F375329B643140C8A8AE53D7A05340538293A78B6431407078FF27D8A053402B49433289643140C0BD017FDBA05340128A6B849764314090EEE6CADCA05340735C955D93643140707C81B4DAA0534060EECD4E8A643140808A77DBE0A053406479362F77643140905CED44E2A053408568839F7A64314070859DEBE1A05340280DCD3F8164314048AE4D57E0A0534039FEC6DC8564314070194717E1A0534085DCFB0A88643140D0C7B5A1E2A05340051901158E64314030FFDFE0E4A05340D32336ED9C6431408875C2CFE8A0534086B82869B4643140D035BCEEE7A0534014F3C541B6643140B053FE18E7A053408935A671B9643140F8FA6208E3A05340DA07B4CFBE64314080A93D57E1A0534020E4E57EC1643140003659A3DEA053402CE739BFB464314040BEF716DAA05340C39579CCBC643140,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narasimha Basti(NallaGuntha),0047-03-13 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000001300000040643D0CA5A05340EB3B17DF8266314040629C9BA6A053406C99DC188C66314040607BBDA4A05340F135B5738F66314060D5FB179DA053409DE6E67D6166314078DE8D7FA5A05340ED56F7315A66314090E7DF8FAEA053403A9A333F55663140B0F9C3A8B5A053408CBDF31053663140E0BBCBACB8A05340D66626504F663140107E9348BEA05340E638FE904C6631406802A364BFA0534079502D8659663140200B42D2C0A0534012311F4458663140981C8053C3A0534080E824B482663140102EFE88C2A0534017706FB784663140803F7C64C1A05340600715B985663140C85158A2B6A05340152E47227666314018643450B4A0534084BEC8A576663140B0886C0BB2A0534042CF5FB37B663140E0D1DC43AFA0534030B7FD137C66314040643D0CA5A05340EB3B17DF82663140,9,86,1709,444,319,2,46,222,4,172,1496,213,200,1,0,0,234,9,285,137,22,4310,4156,47912,18,14,17,395,94,
Bharath Nagar,0047-09-13 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B00000060AE03EF3DA1534000936D433965314020ED806D3FA15340A898F34E40653140B82E7C2F41A15340E0DDF70C4C65314020E97EB93EA15340F6B5BB924F653140604680513DA15340F9C62FCE4C65314098A3810B38A15340A6E0D8165265314020CF025B2CA153407BC68C805E653140108A7B6628A153408363E0CA23653140E058FE1931A15340A955EC161E65314058E6000339A153405E7E4C101A65314060AE03EF3DA1534000936D4339653140,9,85,1440,331,306,135,136,163,1,31,1393,47,198,1,46,0,85,1,103,219,9,3418,3763,5508,3,5,4,319,88,
Rama Krishna Nagar,0048-12-10 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000D000000709BFF5D56A15340DA40E9A2DB653140A094FFDE5CA153403E5559E3CE65314040CA013F57A15340CA0A6E8092653140A857A25762A153402F3F84558565314010E5C26561A1534022F610D3766531408072A33269A153405E7DA3DE70653140E8FF03496BA153401932C3EB9F653140E842FECC6EA15340665C1669EC65314030EFBED35CA1534097054DCF1066314050459FF55AA153409F1ED2770266314060708F3C51A15340EA4BD7C712663140E88587FD4CA15340B5B3E84AEA653140709BFF5D56A15340DA40E9A2DB653140,9,86,1708,412,376,82,167,39,16,190,1619,89,35,2,0,0,373,2,404,8,0,3755,3439,5118,2,0,1,409,44,
Rahat Nagar,0050-05-09 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000A00000060EE7B50A7A15340A30A1C5C7C653140F0E5C1D7A3A15340096FA1505B653140C0FBC0F8AFA1534038BB6B6467653140B0E47EB9C5A153408D8CC8F088653140F05E1E46C6A153401C4311668265314030D93DF7C7A153409973AC6C86653140A0CDBC86C7A15340DFD8C2F58B653140D0C6FC3BB4A153403CF6922AAC653140905AFCF8ABA15340F9DD5B6E6D65314060EE7B50A7A15340A30A1C5C7C653140,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Church Colony,0049-11-08 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000008000000D89102CFE3A25340902ECEC11A643140B08CFC44E6A253408F930A08AA63314070540459E1A25340D75E3CDF2963314038E5FAACE7A25340ABAF72D82563314040B50112ECA2534055FA7A2923633140C032FCBCF5A25340E02895A006643140B05C03E2EEA253400FB9D5FE0B643140D89102CFE3A25340902ECEC11A643140,2,7,689,182,179,132,40,45,5,92,604,85,70,38,0,0,74,0,106,72,4,4899,4755,43313,5,6,6,165,37,
Lakshmi Narayana Colony,0050-11-07 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000E000000504CFF0E1CA35340BEF9CBF63A64314070CCFCB41BA35340E0775FD727643140280881F104A3534020CFE2382F643140008883F104A35340A1819D29F2633140D8A0037A1AA353406110C6EAE5633140B0B983CE18A353404BD6E69F9E63314088D2032D2BA35340713B526E9A633140F0DE43162FA35340749433A5C863314060EB839F38A35340C1E10C93CA633140F02E403A38A3534053D3586997633140B8509E0945A353408BDF97468F633140A0614D094AA3534003721E241C6431408072FCCC30A3534068B3452D28643140504CFF0E1CA35340BEF9CBF63A643140,2,7,2419,600,581,59,104,73,14,409,2164,255,223,0,0,0,376,1,481,99,20,5653,5504,70800,37,41,48,474,37,
Azad Nagar,0052-10-12 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000D00000070FDC25D2DA15340C123C11462623140D09C81151FA15340F6BF9CCD5D623140303C401A2DA15340D0CFDFA6D2613140C0DC828A31A15340BBFF73C4CA613140703C3B543EA153401D70C583BD61314088E704C14DA15340E5E7ABBBAB61314060AE43AA51A153405C2102F3D96131404075020753A1534072644E2F0B62314050DA3B4043A15340AB736FF21962314018A3DD7D47A153403E9792CD5D623140E06B7F403FA153403D1EA23A5F623140A834213E38A153402B76EAFB5F62314070FDC25D2DA15340C123C11462623140,9,84,1363,289,289,261,41,10,0,238,1325,38,2,3,1,1,6,276,256,22,11,5180,5195,0,1,0,0,288,29,
New Durga Nagar,0054-01-08 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000001300000080537D2230A153400F90B6E8C661314020DC400B3CA153408D7D7F80BB61314078A022A639A15340132D3404A4613140D06404B43CA153404ADE87F89C613140C0E940B13BA153403E24F96B95613140B06EFD0D3DA15340B0C2359091613140C0E77F4639A1534092FE28D36C613140D86082DE37A15340AD6956E85F613140009A431433A15340FE4267226961314020D384B731A1534015F074E35C61314020CF42742DA153400D765C186361314030CB000429A153405E33F4536D61314028C0034524A15340F2A8DF22836131400025421D2AA15340800B1E5D996131406857E13E2CA1534080F1CBD1A5613140D08980522DA15340729C089EB361314040BC7F522DA1534027069300C2613140A8EE7E332EA15340BDFDF7A9C761314080537D2230A153400F90B6E8C6613140,9,84,702,171,152,15,9,48,5,109,624,78,10,0,2,0,76,83,67,40,64,4201,4201,4889,10,3,4,154,22,
Durga Nagar,0054-11-16 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000010000000700B3CEC0FA15340F1C3A4CC1C623140B8B220D906A15340705896E7DF613140085A055A0FA153409D2F9334C1613140503CBF8820A153409321295B8B613140703F2E4521A15340401642018F61314088429D5B22A153400C9799C68B613140A045CCCE24A1534078BC57A39661314030C7639D27A15340493D45D7A5613140F087EFD427A153408094A2DBA6613140B8483BE228A15340050744A6AB6131406079E3562AA1534008AD2FA8B96131408885E5902AA1534033F0700BC2613140B091A7652AA15340B517EAC2C9613140E09D69B626A153402AD20B77CF61314010AA2BEE1DA1534095DBF929EE613140700B3CEC0FA15340F1C3A4CC1C623140,9,83,665,156,155,31,12,6,2,136,665,0,2,0,16,1,137,0,66,12,78,3888,4192,19776,15,9,1,131,50,
Kamala Nagar,0055-01-13 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000E000000902243D8BAA05340A46231240663314010B7C0D4C5A05340D14F402CFE623140A0D86C7ACAA05340087704C3FB623140E8B62320CFA05340937449ACF7623140C87495ACD2A0534016FAA235ED623140B8933E63D5A0534016C1BD3AE0623140905342EAD5A05340C27132D4D5623140B8933E63D5A05340A105D3F6D0623140B0317E33D4A0534048BBD938C5623140B8937E7FD3A05340D297D433C2623140D053BD6ED1A05340A590733AC6623140705E835BCAA05340B1FA6528D562314090345DF4BAA05340FD4554D1ED623140902243D8BAA05340A462312406633140,9,83,417,103,67,14,13,23,2,65,415,2,2,3,96,0,0,2,58,20,25,4128,4128,26825,0,1,0,102,29,
Ganga Nagar,0052-07-06 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000F0000001833007CB1A053403F60624C3863314060B48184B0A053403265508E2C63314090F03B6BAFA0534036F3607A2063314048D51CF2B1A0534068F463751D63314000BAFD2CB5A0534007A74FBC14633140C0007F21B9A053404E0A77570B63314080269F94BCA05340BE61630B04633140484CBF07C0A05340D5B0137000633140D097DF4AC6A05340CF358CEDFE623140F0192E72C7A0534056C0328701633140089C9C2EC8A05340F37791F7046331401060FD9ECAA05340C715D07611633140405684F6C5A053402791751F1D633140F004FCF9BAA0534023C058632C6331401833007CB1A053403F60624C38633140,9,83,2242,544,514,154,182,39,12,311,2213,29,14,154,1,0,213,162,215,318,11,3835,3423,17535,5,2,17,520,,
Tulasi Ram Nagar,0054-02-05 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000110000001063FC817EA05340A556EFD12163314000A3FD087FA0534095F06A010B633140B8947C8483A053409A6806590C633140900DFCC783A05340160E4CA30563314000CAFB758AA05340C95D6C4D0563314030A8FBA28AA0534025F7DFE81563314050973B1B96A0534066129B430C6331407086BB90A0A053408E368AFC07633140C00D0099A3A05340C1AC1A2406633140009544FEA3A053402E1A74F201633140405B21DFA6A053403BF58BC7016331408021BE1FA8A05340E65FFF711B63314048210358A8A05340F2A41A3027633140C89B0488A5A05340AC41F39430633140C016FC4FA1A05340B1B56B003E633140E84BFB289BA05340287A85AA3D6331401063FC817EA05340A556EFD121633140,9,83,1136,288,216,18,28,43,3,214,1111,25,9,0,5,2,240,32,127,156,5,4360,4366,278,0,2,0,286,166,
Zindatilismath Nagar,0055-10-11 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000008000000D06A8287ADA053401B77316A4A63314068ACFD9DADA053406DAB59677C633140A08B01ACAEA05340D5384B61AC6331402009FC2AA8A05340F221D462AD633140104DFFB1A8A053402E9929E59463314000918209A4A053407F1EAEF86C633140A0927C39A1A053408A3536325C633140D06A8287ADA053401B77316A4A633140,9,83,485,100,93,68,3,1,0,96,483,2,13,12,1,2,38,34,35,24,41,4780,4735,5850,0,0,1,99,1,
Ashok Nagar,0056-08-12 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000015000000E0B5BF71A1A05340A86D4761AC6331405059C0E39FA05340E26DAD48AF633140907A7231A0A05340D74CEAF7BC633140D89BA4C2A0A05340F8C6C2EFC263314020BD96C1A0A0534026A570F6C463314060DE0850A0A0534037C592A5C563314090D95A159AA05340968E2E20CC63314000273EEB98A05340AD5F1BB7B963314060C6FC5898A05340A1656178BA633140005F3BFF93A0534046AB62439A63314040E8C00F9AA053404137EAD78C633140C05B73899BA05340E3EE20348A63314078276DE499A053401E5EC6038063314028CD510D9CA0534044DA08BC7A633140A81A28B6A3A0534080BDDB1F9C633140201ADCF7A4A053404B88E2239C633140E0993205A5A053400807F7DA9E633140201772F8A6A0534020BB453F9E633140F04FDB4CA6A05340B2E5C725AF633140000052FEA2A05340063CFE45AF633140E0B5BF71A1A05340A86D4761AC633140,9,83,283,60,58,55,0,0,0,60,283,0,5,0,35,0,20,0,31,26,3,3753,3753,4583,1,0,0,59,0,
